0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,heya.,,,,,,,
0.1,SansText,so...,,,,,,,
0.1,SansText,you're gabriel's boyfriend... right?,,,,,,,
0.1,SansText,'cause... uh...,,,,,,,
0.1,SansText,he wanted me to pass along a message.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,so...,,,,,,,
0.1,SansText,the kid's been coding a ton lately.,,,,,,,
0.1,SansText,working himself to the bone... huh?,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,heh.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,anyway...,,,,,,,
0.1,SansText,he wanted you to know...,,,,,,,
0.1,SansText,how much he loves you.,,,,,,,
0.1,SansText,pretty sweet... huh?,,,,,,,
0.1,SansText,he keeps saying...,,,,,,,
0.1,SansText,how beautiful you are.,,,,,,,
0.1,SansText,says he wants to marry you.,,,,,,,
0.1,SansText,build a family...,,,,,,,
0.1,SansText,the whole nine yards.,,,,,,,
0.1,SansText,he thinks about the future with you all the time.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,can you believe that?,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,he's really serious about you.,,,,,,,
0.1,SansText,he keeps saying that joining that random,,,,,,,
0.1,SansText,discord call was the best choice he ever made.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,says you completely changed him...,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,flipped his life goals around... and...,,,,,,,
0.1,SansText,well... you're basically,,,,,,,
0.1,SansText,his number one priority.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,pretty heavy stuff for a chat room... huh?,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,he says he's deeply sorry...,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,for the times he made you feel horrible.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,but... he's just really glad...,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,you guys are together.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,and hey... if anything's ever bothering you...,,,,,,,
0.1,SansText,he wants you to just shoot him a message...,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,and talk it out.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,and hey... he wants you to know,,,,,,,
0.1,SansText,you can count on him for anything.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,seriously... anything.,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,if you're ever feeling down...,,,,,,,
0.1,SansText,you can just talk to him...,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,alright? promise me?,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,...that boy told me you're his dream man.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,but... uh... there's just,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,one little thing i gotta test out first.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,let's see if you can actually,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,hold your own in a fight.,,,,,,,
0.1,SansText,it's a beautiful day outside.,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0.1,SansText,birds are singing...,,,,,,,
0,SansHead,BlueEye,,,,,,,
0.1,SansText,flowers are blooming...,,,,,,,
0,SansHead,NoEyes,,,,,,,
0.1,SansText,you're gonna have a bad time.,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,20,-24,360,25,,,,
1.1,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
3,SansHead,Default,,,,,,,
0,SansText,here we go.,,,,,,,
66,EndAttack,,,,,,,,
